Site,Month,qty sold ,DECRIBPTION,UPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Jan,24,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Feb,21,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Mar,53,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,Apr,32,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,May,32,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533 east main rd,June,30,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Jan,10,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Feb,14,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Mar,32,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",Apr,23,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",May,13,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",June,12,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302 East Main Rd, RI",June,104,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Jan,20,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Feb,29,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"965 Fall River Ave, MA",Mar,31,75OZ BABYBEL CHSE SINGLES,000004175703143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
